AÑO,CATEGORIAS,ANALISIS,COMUNIDAD AUTONOMA,CANTIDAD
2000,Frutas y hortalizas transformadas,Consumo x cápita (miles de kg o litros),VALENCIA,12.811479690749394
2000,Platos preparados,Consumo x cápita (miles de kg o litros),VALENCIA,7.295936704920389
2000,Cafes e infusiones,Consumo x cápita (miles de kg o litros),VALENCIA,1.5556546853576567
2000,Caldos,Consumo x cápita (miles de kg o litros),VALENCIA,0.16898947298279252
2000,Salsas,Consumo x cápita (miles de kg o litros),VALENCIA,1.5406661821232162
2000,Gaseosas y bebidas refrescantes,Consumo x cápita (miles de kg o litros),VALENCIA,37.869756556117714
2000,Otros productos en peso,Consumo x cápita (miles de kg o litros),VALENCIA,5.573785712964409
2000,Otros productos en volumen,Consumo x cápita (miles de kg o litros),VALENCIA,1.4724286607542152
2000,Miel,Gasto x cápita (miles de euros),VALENCIA,1.4338853902976714
2000,Carne,Gasto x cápita (miles de euros),VALENCIA,247.510432833619
2000,Pescados y mariscos,Gasto x cápita (miles de euros),VALENCIA,121.74333318241777
2000,Leche líquida,Gasto x cápita (miles de euros),VALENCIA,47.113606124218876
2000,Otras leches,Gasto x cápita (miles de euros),VALENCIA,2.8878906824928867
2000,Derivados lacteos,Gasto x cápita (miles de euros),VALENCIA,71.62306920703205
2000,Pan,Gasto x cápita (miles de euros),VALENCIA,84.31161661682418
2000,"Bolleria, pastelería, galletas y cereales",Gasto x cápita (miles de euros),VALENCIA,38.06350558086737
2000,Productos navideños,Gasto x cápita (miles de euros),VALENCIA,4.447671140230365
2000,Chocolates,Gasto x cápita (miles de euros),VALENCIA,10.779482701320035
2000,Arroz,Gasto x cápita (miles de euros),VALENCIA,6.403218403434586
2000,Pastas,Gasto x cápita (miles de euros),VALENCIA,4.268812268956391
2000,Azucar,Gasto x cápita (miles de euros),VALENCIA,4.091131136043521
2000,Edulcorante,Gasto x cápita (miles de euros),VALENCIA,0.8880589816647304
2000,Legumbres,Gasto x cápita (miles de euros),VALENCIA,3.4312288422292965
2000,Aceites,Gasto x cápita (miles de euros),VALENCIA,20.84062368217292
2000,Margarinas,Gasto x cápita (miles de euros),VALENCIA,1.2845511166022998
2000,Aceitunas,Gasto x cápita (miles de euros),VALENCIA,4.959198070497091
2000,Vinos,Gasto x cápita (miles de euros),VALENCIA,17.579852183075857
2000,Cervezas,Gasto x cápita (miles de euros),VALENCIA,11.491532495970748
2000,Patatas,Gasto x cápita (miles de euros),VALENCIA,15.846700770602999
2000,Hortalizas frescas,Gasto x cápita (miles de euros),VALENCIA,68.78240607869387
2000,Frutas frescas,Gasto x cápita (miles de euros),VALENCIA,66.07406763327418
2000,Frutos secos,Gasto x cápita (miles de euros),VALENCIA,10.890881014319177
2000,Frutas y hortalizas transformadas,Gasto x cápita (miles de euros),VALENCIA,18.913474911809548
2000,Platos preparados,Gasto x cápita (miles de euros),VALENCIA,24.412721342612652
2000,Cafes e infusiones,Gasto x cápita (miles de euros),VALENCIA,11.426756886109965
2000,Caldos,Gasto x cápita (miles de euros),VALENCIA,1.2853895482956963
2000,Salsas,Gasto x cápita (miles de euros),VALENCIA,3.594489441764542
2000,Gaseosas y bebidas refrescantes,Gasto x cápita (miles de euros),VALENCIA,22.203416949353695
2000,Otros productos en peso,Gasto x cápita (miles de euros),VALENCIA,9.521626167988126
2000,Otros productos en volumen,Gasto x cápita (miles de euros),VALENCIA,2.4950964984845494
2000,Miel,Consumo x cápita (miles de kg o litros),MURCIA,0.43680191533664964
2000,Carne,Consumo x cápita (miles de kg o litros),MURCIA,45.54688613232356
2000,Pescados y mariscos,Consumo x cápita (miles de kg o litros),MURCIA,21.036226452783772
2000,Leche líquida,Consumo x cápita (miles de kg o litros),MURCIA,93.31501238371642
2000,Otras leches,Consumo x cápita (miles de kg o litros),MURCIA,0.6701409447250111
2000,Derivados lacteos,Consumo x cápita (miles de kg o litros),MURCIA,29.162837288104893
2000,Pan,Consumo x cápita (miles de kg o litros),MURCIA,49.42675485109379
2000,"Bolleria, pastelería, galletas y cereales",Consumo x cápita (miles de kg o litros),MURCIA,11.705522381875824
2000,Productos navideños,Consumo x cápita (miles de kg o litros),MURCIA,1.4062774790325203
2000,Chocolates,Consumo x cápita (miles de kg o litros),MURCIA,3.157982434698611
2000,Arroz,Consumo x cápita (miles de kg o litros),MURCIA,5.535481485809865
2000,Pastas,Consumo x cápita (miles de kg o litros),MURCIA,2.7232528020385898
2000,Azucar,Consumo x cápita (miles de kg o litros),MURCIA,6.578368765603316
2000,Edulcorante,Consumo x cápita (miles de kg o litros),MURCIA,0.10692096788987115
2000,Legumbres,Consumo x cápita (miles de kg o litros),MURCIA,3.872417319358535
2000,Aceites,Consumo x cápita (miles de kg o litros),MURCIA,14.109193922281682
2000,Margarinas,Consumo x cápita (miles de kg o litros),MURCIA,0.7135442440201818
2000,Aceitunas,Consumo x cápita (miles de kg o litros),MURCIA,1.746414021172571
2000,Vinos,Consumo x cápita (miles de kg o litros),MURCIA,8.078154693584636
2000,Cervezas,Consumo x cápita (miles de kg o litros),MURCIA,21.210862563966536
2000,Patatas,Consumo x cápita (miles de kg o litros),MURCIA,40.638018836805344
