AÑO,CATEGORIAS,COMUNIDAD AUTONOMA,CANTIDAD
2002,ACEITE DE ORUJO,ESPAÑA,14317.929999999998
2002,MARGARINA,ESPAÑA,33365.12
2002,ACEITUNAS,ESPAÑA,113425.67
2002,TOTAL ZUMO Y NECTAR,ESPAÑA,471825.31
2002,PATATAS FRESCAS,ESPAÑA,1026938.9400000002
2002,PATATAS CONGELADAS,ESPAÑA,30443.269999999993
2002,PATATAS PROCESADAS,ESPAÑA,50045.95999999999
2002,TOMATES,ESPAÑA,536278.9299999999
2002,CEBOLLAS,ESPAÑA,261014.19
2002,AJOS,ESPAÑA,38851.490000000005
2002,COLES,ESPAÑA,59887.73
2002,PEPINOS,ESPAÑA,79178.13
2002,JUDIAS VERDES,ESPAÑA,100942.48
2002,PIMIENTOS,ESPAÑA,177872.62
2002,CHAMPIÑONES+O.SETAS,ESPAÑA,37666.990000000005
2002,LECHUGA/ESC./ENDIVIA,ESPAÑA,252341.45999999996
2002,ESPARRAGOS,ESPAÑA,18263.25
2002,VERDURAS DE HOJA,ESPAÑA,70344.20999999999
2002,OTR.HORTALIZAS/VERD.,ESPAÑA,555193.2899999999
2002,NARANJAS,ESPAÑA,814074.0399999999
2002,MANDARINAS,ESPAÑA,223232.32
2002,LIMONES,ESPAÑA,90268.76000000001
2002,PLATANOS,ESPAÑA,385195.29
2002,MANZANAS,ESPAÑA,481042.21
2002,MELOCOTONES,ESPAÑA,198503.23000000004
2002,ALBARICOQUES,ESPAÑA,35568.8
2002,FRESAS/FRESON,ESPAÑA,87123.46000000002
2002,MELON,ESPAÑA,314510.27999999997
2002,SANDIA,ESPAÑA,236401.35
2002,CIRUELAS,ESPAÑA,57156.16000000001
2002,CEREZAS,ESPAÑA,51611.340000000004
2002,UVAS,ESPAÑA,85949.98
2002,KIWI,ESPAÑA,99972.55
2002,OTRAS FRUTAS FRESCAS,ESPAÑA,172038.41
2002,FRUTOS SECOS,ESPAÑA,104026.1
2002,TOMATES,ESPAÑA,201611.52
2002,TOMATE FRITO,ESPAÑA,125347.33000000003
2002,"MERMELADAS,CONFIT.",ESPAÑA,0.0
2002,FRUTA CONS/ALMIBAR,ESPAÑA,0.0
2002,FRUTA ESCARCHADA,ESPAÑA,0.0
2002,RESTO FRUTA CONSER,ESPAÑA,0.0
2002,VERD./HORT.CONGELAD,ESPAÑA,0.0
2002,FRUTAS CONGELADAS,ESPAÑA,0.0
2002,P.P.CONSERVA CARNE,ESPAÑA,31057.17
2002,P.P.CONSERV PESCADO,ESPAÑA,129.02
2002,P.P.CONGELADO CARNE,ESPAÑA,21590.559999999998
2002,P.P.CONGEL.PESCADO,ESPAÑA,38518.89
2002,P.P.CONGEL.VEGETAL,ESPAÑA,13546.119999999997
2002,OTROS P.P.CONGELADO,ESPAÑA,24059.6
2002,P.P.SOPAS Y CREMAS,ESPAÑA,113647.23
2002,P.P.PIZZA,ESPAÑA,53035.53000000001
2002,PLAT.PREP.OTROS,ESPAÑA,27973.410000000003
2002,CAFE G. O M.TORREFAC,ESPAÑA,1201.21
2002,CAFE G. O M.NATURAL,ESPAÑA,22034.64
2002,CAFE G. O M.MEZCLA,ESPAÑA,25228.55
2002,CAFE G. O M.DESCA,ESPAÑA,9263.55
2002,CAFE SOLUBLE,ESPAÑA,7807.290000000001
2002,SUCEDANEOS DE CAFE,ESPAÑA,4792.300000000001
2002,TE,ESPAÑA,707.38
2002,MANZANILLA,ESPAÑA,725.73
2002,POLEO,ESPAÑA,373.13
2002,OTRAS INFUSIONES,ESPAÑA,1182.2199999999998
2002,CALDOS,ESPAÑA,8433.11
2002,SALSAS,ESPAÑA,70282.97
2002,AGUA DE BEBIDA ENVAS.,ESPAÑA,1745237.2200000002
2002,GASEOSAS Y BEBID.REFR,ESPAÑA,1596860.4999999998
2002,OTROS PROD.EN PESO,ESPAÑA,243498.31999999995
2002,OTROS PROD.EN VOLUMEN,ESPAÑA,82798.56
2003,T.HUEVOS KGS,ESPAÑA,425611.26000000007
2003,OTRAS AVES,ESPAÑA,68481.97
2003,MIEL,ESPAÑA,18499.13
2003,CARNE VACUNO,ESPAÑA,321311.65
2003,CARNE POLLO,ESPAÑA,587085.07
2003,CARNE CONEJO,ESPAÑA,59894.11
2003,CARNE OVINO/CAPRINO,ESPAÑA,120639.36000000002
2003,CARNE CERDO,ESPAÑA,472516.87
2003,CARNE DESPOJOS,ESPAÑA,49164.27
2003,OTRAS CARNES FRESCA,ESPAÑA,112292.66000000002
2003,CARNE CONGELADA,ESPAÑA,31683.150000000005
2003,CARNE TRANSFORMADA,ESPAÑA,488466.8599999999
2003,TOCINO Y MANTECA,ESPAÑA,9224.99
2003,PESCADOS FRESCOS,ESPAÑA,553650.2999999999
2003,PESCADOS CONGELADOS,ESPAÑA,130854.09999999999
2003,MARISCO/MOLUSCO/CRUS,ESPAÑA,306446.78
2003,CONS.PESCADO/MOLUSCO,ESPAÑA,157650.12
2003,SALMON AHUMADO,ESPAÑA,3010.43
2003,TRUCHA AHUMADA,ESPAÑA,163.56
2003,OTROS AHUMADOS,ESPAÑA,940.16
2003,LECHE ENTERA,ESPAÑA,1557144.0799999998
2003,LECHE DESNATADA,ESPAÑA,849537.88
2003,LECHE SEMIDESNATAD,ESPAÑA,1267282.74
2003,TOTAL OTRAS LECHES,ESPAÑA,26950.280000000002
2003,PREPARADOS LACTEOS,ESPAÑA,80984.65
2003,BATIDOS DE LECHE,ESPAÑA,77303.34999999999
2003,BATIDOS DE YOGURT,ESPAÑA,29472.29
2003,MANTEQUILLA,ESPAÑA,6129.21
2003,QUESO,ESPAÑA,260300.83
2003,HELADOS Y TARTAS,ESPAÑA,98023.34
2003,NATA,ESPAÑA,39481.45
2003,CUAJADAS,ESPAÑA,13970.279999999999
2003,OT.DERIVADOS LACTEOS,ESPAÑA,151376.53
2003,PAN,ESPAÑA,1958314.99
2003,BOLL./PAST.ENVASADA,ESPAÑA,148782.08000000002
2003,GALLETAS ENVASADAS,ESPAÑA,166703.55
2003,CEREALES DESAY.ENV.,ESPAÑA,41829.04
2003,BOLL./PAST.GRANEL,ESPAÑA,82625.91
2003,GALLETAS GRANEL,ESPAÑA,4172.61
2003,PRODUCTOS NAVIDEÑOS,ESPAÑA,40826.3
2003,CHOCOLATES/CACAOS/SUC,ESPAÑA,121701.61999999998
2003,TURRON DE CHOCOLATE,ESPAÑA,7593.96
2003,ARROZ,ESPAÑA,195658.41
2003,TOTAL PASTAS,ESPAÑA,152693.07000000004
2003,AZUCAR,ESPAÑA,197973.56999999998
2003,EDULCORANTES,ESPAÑA,5984.04
2003,LEGUMBRES SECAS,ESPAÑA,97466.32000000002
2003,LEGUMBRES COCIDAS,ESPAÑA,51273.14
2003,TOTAL ACEITES DE OLIVA,ESPAÑA,427350.99
2003,ACEITE DE GIRASOL,ESPAÑA,158475.08000000002
2003,ACEITE DE MAIZ,ESPAÑA,2086.65
2003,ACEITE DE SOJA,ESPAÑA,56.65
2003,ACEITE DE SEMILLA,ESPAÑA,13222.689999999999
2003,ACEITE DE ORUJO,ESPAÑA,15744.689999999999
2003,MARGARINA,ESPAÑA,31624.99
2003,ACEITUNAS,ESPAÑA,114801.54000000001
2003,TOTAL ZUMO Y NECTAR,ESPAÑA,468946.34
2003,PATATAS FRESCAS,ESPAÑA,1023351.7599999999
2003,PATATAS CONGELADAS,ESPAÑA,30234.400000000005
2003,PATATAS PROCESADAS,ESPAÑA,49010.04
2003,TOMATES,ESPAÑA,561189.79
2003,CEBOLLAS,ESPAÑA,276907.58999999997
2003,AJOS,ESPAÑA,39230.10999999999
2003,COLES,ESPAÑA,61421.18
2003,PEPINOS,ESPAÑA,83743.32
2003,JUDIAS VERDES,ESPAÑA,93300.56
2003,PIMIENTOS,ESPAÑA,178091.87
2003,CHAMPIÑONES+O.SETAS,ESPAÑA,37750.759999999995
2003,LECHUGA/ESC./ENDIVIA,ESPAÑA,239208.58
2003,ESPARRAGOS,ESPAÑA,24254.710000000003
2003,VERDURAS DE HOJA,ESPAÑA,72115.40000000001
2003,OTR.HORTALIZAS/VERD.,ESPAÑA,598841.49
2003,NARANJAS,ESPAÑA,822755.1699999999
2003,MANDARINAS,ESPAÑA,234771.54
2003,LIMONES,ESPAÑA,93347.03000000001
2003,PLATANOS,ESPAÑA,395619.56000000006
2003,MANZANAS,ESPAÑA,473685.95999999996
2003,MELOCOTONES,ESPAÑA,188685.68000000002
2003,ALBARICOQUES,ESPAÑA,35064.89000000001
2003,FRESAS/FRESON,ESPAÑA,89787.64000000001
2003,MELON,ESPAÑA,362859.7
2003,SANDIA,ESPAÑA,270824.46
2003,CIRUELAS,ESPAÑA,58610.17999999999
2003,CEREZAS,ESPAÑA,43750.340000000004
2003,UVAS,ESPAÑA,93499.48
2003,KIWI,ESPAÑA,109734.05
2003,OTRAS FRUTAS FRESCAS,ESPAÑA,187883.31
2003,FRUTOS SECOS,ESPAÑA,107833.36
2003,TOMATES,ESPAÑA,196610.72999999998
2003,TOMATE FRITO,ESPAÑA,120460.95
2003,"MERMELADAS,CONFIT.",ESPAÑA,24320.58
2003,FRUTA CONS/ALMIBAR,ESPAÑA,41229.520000000004
2003,FRUTA ESCARCHADA,ESPAÑA,547.6
